Project Name,Registration Number,Authorized Name,Promoter Name,Project Type,District,Tehsil,Approved Date,Proposed End Date,Extended Proposed End Date,Website
SPARSH LIFE CITY,PCGRERA160218000001,VIVEK AGRAWAL,MAA BAMLESHWARI REALITIES PVT LTD,Plotted Development,RAIPUR,RAIPUR,16 Feb 2018,30 Apr 2020,30 Jan 2022,http://sparshlifecity.com/
OVERSEAS PALM RESORTS,PCGRERA240218000002,AAKASH AGRAWAL,M/S AGRAWAL CONSTRUCTION AND CONTRACTORS,Group Housing,RAIPUR,RAIPUR,24 Feb 2018,03 Dec 2020,02 Sep 2022,http://www.palmresorts.in/
MULTI SPORTS CITY,PCGRERA010318000003,VIKAS AGRAWAL,BHARAT DEVELOPERS,Plotted Development,DURG,PATAN,01 Mar 2018,31 Jan 2021,17 Dec 2022,http://www.multisportscity.com/
MAHAVIR SUNCITY NX,** PCGRERA080318000004,VIKAS BOHRA,MAHAVIR ASSOCIATES,Plotted Development,RAJNANDGAON,RAJNANDGAON,08 Mar 2018,08 Aug 2021,08 May 2022,http://www.mahavirgroupindia.com/ongoing-project-KanchanBagh.html
SATGURU DREAM CITY,** PCGRERA150318000005,SUNNY BINDRA,M/S. SATGURU BUILDCON,Plotted Development,RAIPUR,RAIPUR,15 Mar 2018,31 Jan 2020,-,http://www.satgurubuildcon.com/
SINGAPORE LIFE CITY PHASE-I,** PCGRERA150318000006,AJAY KUMAR CHOUHAN,CHOUHAN HOUSING PRIVATE LIMITED,Plotted Development,DURG,DURG,15 Mar 2018,15 Mar 2020,-,http://chpl.org.in/Singapore-Life-City-Phase-1
METRO HEXA,PCGRERA160418000007,RAJESH KUKREJA,M/S SHIVAY INFRA,Group Housing,RAIPUR,RAIPUR,16 Apr 2018,31 Mar 2021,28 Dec 2023,http://www.metrohexa.com/
RIDDHI SIDDHI L SERIES,** PCGRERA230418000008,VINOD KUMAR BOHRA,VINOD BOHRA,Plotted Development,RAJNANDGAON,RAJNANDGAON,23 Apr 2018,31 Jul 2020,31 Jan 2021,http://www.mahavirgroupindia.com/Riddhi-Siddhi-L-Series.html
GT LIFE SPACES,PCGRERA270418000009,GAJENDRA SINGH RAJPAL,G T HOMES,Group Housing,RAIPUR,ARANG,27 Apr 2018,31 Oct 2020,21 Jan 2025,http://www.gtgroupcg.com/
ROYAL RESIDENCES,** PCGRERA050518000010,SONAL KUMAR JAIN,SONAL KUMAR JAIN,Plotted Development,RAIPUR,ABHANPUR,05 May 2018,18 Apr 2020,18 Oct 2020,http://www.royalresidencesabhanpur.com/
SWARNABHOOMI PROJECT PHASE-II,PCGRERA180518000011,RAJESH AGRAWAL,FORTUNE RESOURCES PRIVATE LIMITED,Group Housing,RAIPUR,RAIPUR,18 May 2018,28 Feb 2022,24 Apr 2025,http://www.swarnabhoomi.in/
WOODS ESTATE PHASE-I,** PCGRERA250518000012,M RAMESH RAO,SRI VENKATESHWARA REALITIES,Plotted Development,RAIPUR,RAIPUR,25 May 2018,31 Dec 2023,30 Jun 2024,http://www.svrraipur.com/
CREST GREENS,** PCGRERA250518000013,JAGEET SINGH DUTTA,RAMAYANA REALTORS PRIVATE LIMITED,Plotted Development,RAIPUR,RAIPUR,25 May 2018,30 Sep 2018,30 Sep 2019,http://www.crestgreens.com/
CHOUHAN GREEN VALLEY,PCGRERA250518000014,AJAY CHOUHAN,AJAY CHOUHAN,Plotted Development,DURG,DURG,25 May 2018,29 Apr 2021,05 Jun 2025,http://www.chouhanhousing.com/CHOUHAN-GREEN-VALLEY
CHOUHAN GREEN VALLEY,PCGRERA250518000015,AJAY CHOUHAN,CHOUHAN HOUSING PVT. LTD.,Plotted Development,DURG,DURG,25 May 2018,29 Apr 2021,04 Jun 2025,http://www.chpl.org.in/CHOUHAN-GREEN-VALLEY
KRISHNA'S PARADISE-PHASE-I,** PCGRERA250518000016,SUNI KUMAR TAPARIA,SHREE KRISHNA BUILDERS,Group Housing,RAIPUR,RAIPUR,25 May 2018,31 Dec 2023,30 Jun 2024,http://www.shreekrishnabuilder.com/
ASHOKA LANDSCAPES,PCGRERA250518000017,ASHOK LUNKAD,PRITHVI DEVELOPERS,Plotted Development,BASTAR,JAGDALPUR,25 May 2018,31 Mar 2020,09 Jul 2026,http://www.prithvidevelopers.com/
NIRVANA GARDEN PHASE- I,** PCGRERA250518000018,VIJAY KUMAR,JSR BUILDER & DEVELOPERS,Plotted Development,RAIPUR,ARANG,25 May 2018,16 Mar 2020,-,http://jsrbuildersanddevelopers.com/
NIRVANA GARDEN PHASE - 2,PCGRERA250518000019,ASHOK KUMAR SHARMA,ASHOK KUMAR SHARMA,Plotted Development,RAIPUR,ARANG,25 May 2018,06 Apr 2021,05 Jan 2023,http://www.ashokkumarsharma.co.in/
AVANTI ELEGANCE,** PCGRERA010618000020,ASHOK KHEMKA,SURYA LAND DEVELOPERS,Group Housing,RAIPUR,RAIPUR,01 Jun 2018,01 Jul 2018,-,http://www.suryalanddevelopers.com/
NEW WHOLESALE CLOTH MARKET,PCGRERA010618000021,RISHABH JAIN,NAVKAR DEVCON INDIA PRIVATE LIMITED,Commercial,DURG,DURG,01 Jun 2018,10 Feb 2020,10 Nov 2021,http://www.navkardevconindia.com/
VINAYAK RESIDENCEY,** PCGRERA010618000022,RASJEET SINGH KHANUJA,KARANVEER INFRAVENTURES PVT.LTD.,Group Housing,RAIPUR,RAIPUR,01 Jun 2018,30 Jun 2018,-,http://www.karanveerinfraventures.com/
"LAXMI GREEN CITY, BLOCK - A",** PCGRERA050618000023,RADHE GOVIND BAJPAI,RADHE GOVIND BAJPAI,Group Housing,DURG,DURG,05 Jun 2018,31 Dec 2021,30 Jun 2022,http://www.laxmibuilder.com/
POOJA PARADISE,** PCGRERA050618000024,JAI GEMNANI,AAKRITI CONSTRUCTION,Mixed Development,BILASPUR,BILASPUR,05 Jun 2018,01 Jan 2019,-,http://www.aakriticonstruction.in/
AISHWARYA EMPIRE PHASE - I,PCGRERA050618000025,NIKHIL DHAGAT,SANKALP HOMES,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,31 May 2025,28 Feb 2026,http://www.aishwaryagroup.co/
AVINASH PEARL,** PCGRERA050618000026,ANAND SINGHANIA,AVINASH DEVELOPERS PVT. LTD.,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,30 Jun 2018,-,http://avinashdevelopers.com/
